Institute,Academic Year,Percentage of unplaced
Jamia Millia Islamia,2015-16,0.0
Jamia Millia Islamia,2016-17,12.32876712328767
Jamia Millia Islamia,2017-18,3.322259136212625
Jamia Millia Islamia,2018-19,0.8733624454148471
Jamia Millia Islamia,2019-20,0.0
Jawaharlal Nehru University,2015-16,0.0
Jawaharlal Nehru University,2016-17,0.0
Jawaharlal Nehru University,2017-18,0.0
Jawaharlal Nehru University,2018-19,0.0
Jawaharlal Nehru University,2019-20,79.03225806451613
KLE Academy of Higher Education and Research,2015-16,10.638297872340425
KLE Academy of Higher Education and Research,2016-17,80.76923076923077
KLE Academy of Higher Education and Research,2017-18,46.51162790697674
Kalasalingam Academy of Research and Higher Education,2017-18,0.0
Kalasalingam Academy of Research and Higher Education,2018-19,21.544715447154474
Kalasalingam Academy of Research and Higher Education,2019-20,3.7181996086105675
Kalinga Institute of Industrial Technology,2015-16,0.0
Kalinga Institute of Industrial Technology,2016-17,1.0540184453227932
Kalinga Institute of Industrial Technology,2017-18,0.0
Kalinga Institute of Industrial Technology,2018-19,0.0
King George`s Medical University,2015-16,2.857142857142857
King George`s Medical University,2016-17,0.0
King George`s Medical University,2017-18,14.066193853427897
King George`s Medical University,2018-19,20.914285714285715
King George`s Medical University,2019-20,17.869415807560138
Koneru Lakshmaiah Education Foundation University,2016-17,14.515265131226569
Koneru Lakshmaiah Education Foundation University,2017-18,1.8664047151277015
Koneru Lakshmaiah Education Foundation University,2018-19,0.0
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),2015-16,18.199142448785135
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),2016-17,14.515265131226569
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),2017-18,23.722986247544203
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),2018-19,48.35717046772323
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),2019-20,39.96157540826128
Lovely Professional University,2016-17,50.0
Lovely Professional University,2017-18,57.043385109801825
Lovely Professional University,2018-19,57.52485430236545
Lovely Professional University,2019-20,63.955757970071566
Mahatma Gandhi University,2015-16,35.55555555555556
Mahatma Gandhi University,2016-17,43.75
Mahatma Gandhi University,2017-18,8.661417322834646
Mahatma Gandhi University,2018-19,78.33333333333333
Mahatma Gandhi University,2019-20,45.83333333333333
Malaviya National Institute of Technology,2016-17,33.33333333333333
Malaviya National Institute of Technology,2017-18,22.31139646869984
Malaviya National Institute of Technology,2018-19,12.56637168141593
Malaviya National Institute of Technology,2019-20,25.20064205457464
Manipal Academy of Higher Education,2015-16,41.1214953271028
Manipal Academy of Higher Education,2016-17,26.602564102564102
Manipal Academy of Higher Education,2017-18,1.4527845036319613
Manipal Academy of Higher Education,2018-19,8.627450980392156
Manipal Academy of Higher Education,2019-20,3.829160530191458
Mizoram University,2016-17,36.36363636363637
Mizoram University,2017-18,53.62318840579711
Mizoram University,2018-19,40.298507462686565
Motilal Nehru National Institute of Technology,2016-17,18.170580964153277
Motilal Nehru National Institute of Technology,2017-18,15.270935960591133
Motilal Nehru National Institute of Technology,2018-19,6.490384615384616
Motilal Nehru National Institute of Technology,2019-20,1.2775842044134729
Mumbai University,2016-17,37.24137931034483
Mumbai University,2017-18,23.52941176470588
Mumbai University,2018-19,22.14765100671141
Mumbai University,2019-20,3.414634146341464
Mysore University,2015-16,4.102564102564102
Mysore University,2016-17,12.839968466692945
Mysore University,2017-18,11.496746203904555
Mysore University,2018-19,10.0
Mysore University,2019-20,5.555555555555555
NITTE,2015-16,42.10526315789473
NITTE,2016-17,40.0
NITTE,2017-18,25.0
National Institute of Technology Durgapur,2015-16,15.508684863523573
National Institute of Technology Durgapur,2016-17,21.288837744533947
National Institute of Technology Durgapur,2017-18,17.98157212784336
National Institute of Technology Durgapur,2018-19,0.9358288770053476
National Institute of Technology Durgapur,2019-20,9.049773755656108
National Institute of Technology Karnataka,2015-16,10.309278350515463
National Institute of Technology Karnataka,2016-17,1.893939393939394
National Institute of Technology Karnataka,2017-18,7.865853658536586
National Institute of Technology Karnataka,2018-19,0.3811944091486658
National Institute of Technology Karnataka,2019-20,1.3227513227513228
National Institute of Technology Rourkela,2015-16,1.5473887814313347
National Institute of Technology Rourkela,2016-17,0.5376344086021506
National Institute of Technology Rourkela,2017-18,1.6728624535315983
National Institute of Technology Rourkela,2018-19,2.152641878669276
National Institute of Technology Rourkela,2019-20,6.25
National Institute of Technology Silchar,2016-17,0.0
National Institute of Technology Silchar,2017-18,18.75
National Institute of Technology Silchar,2018-19,18.806509945750452
National Institute of Technology Silchar,2019-20,16.970802919708028
National Institute of Technology Tiruchirappalli,2015-16,19.01323706377858
National Institute of Technology Tiruchirappalli,2016-17,16.56441717791411
National Institute of Technology Tiruchirappalli,2017-18,10.526315789473683
National Institute of Technology Tiruchirappalli,2018-19,7.22291407222914
National Institute of Technology Tiruchirappalli,2019-20,8.59277708592777
National Institute of Technology Warangal,2015-16,12.012012012012011
National Institute of Technology Warangal,2016-17,8.296296296296296
National Institute of Technology Warangal,2017-18,9.049773755656108
National Institute of Technology Warangal,2018-19,5.718085106382978
National Institute of Technology Warangal,2019-20,10.972222222222221
North Eastern Hill University,2015-16,76.38888888888889
North Eastern Hill University,2016-17,45.45454545454545
North Eastern Hill University,2017-18,37.5
North Eastern Hill University,2018-19,72.86821705426357
North Eastern Hill University,2019-20,84.78260869565217
Osmania University,2015-16,5.88235294117647
Osmania University,2016-17,28.47682119205298
Osmania University,2017-18,49.56479690522244
Osmania University,2018-19,9.090909090909092
Osmania University,2019-20,14.545454545454545
PSG College of Technology,2015-16,0.0
PSG College of Technology,2016-17,47.77777777777778
PSG College of Technology,2017-18,32.6530612244898
PSG College of Technology,2018-19,34.40860215053764
PSG College of Technology,2019-20,24.358974358974358
Panjab University,2015-16,91.10070257611241
Panjab University,2016-17,86.42297650130548
Panjab University,2017-18,93.30708661417323
Panjab University,2018-19,85.24203069657615
Panjab University,2019-20,95.53571428571429
Periyar University,2015-16,0.0
Periyar University,2016-17,0.0
Periyar University,2017-18,11.11111111111111
Pondicherry University,2015-16,17.741935483870968
Pondicherry University,2016-17,1.3157894736842104
Pondicherry University,2017-18,10.759493670886076
Pondicherry University,2018-19,34.61538461538461
Pondicherry University,2019-20,16.585365853658537
Punjab Agricultural University,2015-16,30.864197530864196
Punjab Agricultural University,2016-17,55.14705882352941
Punjab Agricultural University,2017-18,72.59036144578313
S. R. M. Institute of Science and Technology,2016-17,29.976303317535546
S. R. M. Institute of Science and Technology,2017-18,41.3260672116258
S. R. M. Institute of Science and Technology,2018-19,16.833333333333332
S.R.M. Institute of Science and Technology,2017-18,37.51135331516803
S.R.M. Institute of Science and Technology,2018-19,12.25
S.R.M. Institute of Science and Technology,2019-20,71.8923198733175
SRM Institute of Science and Technology,2015-16,32.5875486381323
SRM Institute of Science and Technology,2016-17,28.929068150208625
SRM Institute of Science and Technology,2017-18,40.84084084084084
SVKM`s Narsee Monjee Institute of Management Studies,2015-16,42.66211604095563
SVKM`s Narsee Monjee Institute of Management Studies,2016-17,60.97560975609756
SVKM`s Narsee Monjee Institute of Management Studies,2017-18,69.92337164750958
SVKM`s Narsee Monjee Institute of Management Studies,2018-19,34.48275862068966
SVKM`s Narsee Monjee Institute of Management Studies,2019-20,75.139146567718
Sardar Vallabhbhai National Institute of Technology,2017-18,20.16238159675237
Sardar Vallabhbhai National Institute of Technology,2018-19,18.56946354883081
Sardar Vallabhbhai National Institute of Technology,2019-20,14.583333333333334
Sathyabama Institute of Science and Technology,2015-16,2.7586206896551726
Sathyabama Institute of Science and Technology,2016-17,1.834862385321101
Sathyabama Institute of Science and Technology,2017-18,6.437768240343347
Sathyabama Institute of Science and Technology,2018-19,5.9071729957805905
Sathyabama Institute of Science and Technology,2019-20,1.282051282051282
Saveetha Institute of Medical and Technical Sciences,2015-16,1.228878648233487
Saveetha Institute of Medical and Technical Sciences,2016-17,0.4143646408839779
Saveetha Institute of Medical and Technical Sciences,2017-18,1.507537688442211
Saveetha Institute of Medical and Technical Sciences,2018-19,0.8484848484848486
Saveetha Institute of Medical and Technical Sciences,2019-20,2.227011494252874
Savitribai Phule Pune University,2015-16,32.0
Savitribai Phule Pune University,2016-17,15.384615384615385
Savitribai Phule Pune University,2017-18,7.142857142857142
Savitribai Phule Pune University,2018-19,12.5
Savitribai Phule Pune University,2019-20,20.0
Sawai Man Singh Medical College,2016-17,10.687022900763358
Sawai Man Singh Medical College,2017-18,11.731843575418994
Sawai Man Singh Medical College,2018-19,8.670520231213873
Shanmugha Arts Science Technology & Research Academy,2015-16,30.4029304029304
Shanmugha Arts Science Technology & Research Academy,2016-17,32.37410071942446
Shanmugha Arts Science Technology & Research Academy,2017-18,11.295180722891567
Shanmugha Arts Science Technology & Research Academy,2018-19,1.834862385321101
Shanmugha Arts Science Technology & Research Academy,2019-20,0.0
Shiv Nadar University,2015-16,0.0
Shiv Nadar University,2016-17,20.7492795389049
Shiv Nadar University,2017-18,22.596153846153847
Shiv Nadar University,2018-19,20.833333333333336
Shiv Nadar University,2019-20,25.46201232032854
Siksha `O` Anusandhan,2015-16,8.710033076074973
Siksha `O` Anusandhan,2016-17,8.731082654249127
Siksha `O` Anusandhan,2017-18,2.9361942405420667
Siksha `O` Anusandhan,2018-19,0.0
Siksha `O` Anusandhan,2019-20,0.0
Sri Ramachandra Institute of Higher Education And Research,2016-17,0.0
Sri Ramachandra Institute of Higher Education And Research,2017-18,24.242424242424242
Sri Ramachandra Institute of Higher Education And Research,2018-19,9.333333333333334
Sri Ramachandra Institute of Higher Education and Research,2015-16,0.0
Sri Ramachandra Institute of Higher Education and Research,2016-17,0.0
Sri Ramachandra Institute of Higher Education and Research,2017-18,13.793103448275861
Sri Ramachandra Institute of Higher Education and Research,2018-19,0.0
Sri Ramachandra Institute of Higher Education and Research,2019-20,5.88235294117647
Sri Sivasubramaniya Nadar College of Engineering,2015-16,7.420494699646643
Sri Sivasubramaniya Nadar College of Engineering,2016-17,4.910179640718563
Sri Sivasubramaniya Nadar College of Engineering,2017-18,5.875
Sri Sivasubramaniya Nadar College of Engineering,2018-19,2.7954256670902162
Sri Sivasubramaniya Nadar College of Engineering,2019-20,2.418207681365576
Sri Venkateswara University,2015-16,0.0
Sri Venkateswara University,2016-17,100.0
Sri Venkateswara University,2017-18,100.0
Sri Venkateswara University,2018-19,99.6
Sri Venkateswara University,2019-20,69.23076923076923
Symbiosis International,2015-16,0.0
Symbiosis International,2016-17,0.0
Symbiosis International,2017-18,0.0
Symbiosis International,2018-19,0.0
Symbiosis International,2019-20,0.0
Tamil Nadu Agricultural University,2015-16,66.95544554455446
Tamil Nadu Agricultural University,2016-17,63.21184510250569
Tamil Nadu Agricultural University,2017-18,54.4543429844098
Tamil Nadu Veterinary & Animal Sciences University,2015-16,25.64102564102564
Tamil Nadu Veterinary & Animal Sciences University,2016-17,23.684210526315788
Tamil Nadu Veterinary & Animal Sciences University,2017-18,39.62264150943396
Tata Institute of Social Sciences,2015-16,6.918238993710692
Tata Institute of Social Sciences,2016-17,6.358381502890173
Tata Institute of Social Sciences,2017-18,2.5974025974025974
Tata Institute of Social Sciences,2018-19,46.103896103896105
Tata Institute of Social Sciences,2019-20,64.0
Tezpur University,2015-16,0.0
Tezpur University,2016-17,0.0
Tezpur University,2017-18,61.111111111111114
Tezpur University,2018-19,54.54545454545454
Thapar Institute of Engineering & Technology,2016-17,5.218317358892439
Thapar Institute of Engineering & Technology,2017-18,17.990275526742302
Thapar Institute of Engineering & Technology,2018-19,3.937007874015748
Thapar Institute of Engineering and Technology,2017-18,17.909238249594814
Thapar Institute of Engineering and Technology,2018-19,0.15748031496062992
Thapar Institute of Engineering and Technology,2019-20,20.27114267269206
Thapar Institute of Engineering and Technology (Deemed-to-be-university),2015-16,16.666666666666664
Thapar Institute of Engineering and Technology (Deemed-to-be-university),2016-17,7.348242811501597
Thapar Institute of Engineering and Technology (Deemed-to-be-university),2017-18,22.52836304700162
University of Delhi,2015-16,59.31372549019608
University of Delhi,2016-17,24.170616113744074
University of Delhi,2017-18,0.0
University of Delhi,2018-19,27.715355805243448
University of Jammu,2016-17,7.6923076923076925
University of Jammu,2017-18,4.0
University of Jammu,2018-19,2.857142857142857
University of Kashmir,2015-16,0.0
University of Kashmir,2016-17,0.0
University of Kashmir,2017-18,0.0
University of Kashmir,2018-19,0.0
University of Kashmir,2019-20,42.62295081967213
Vellore Institute of Technology,2015-16,51.051051051051054
Vellore Institute of Technology,2016-17,47.16553287981859
Vellore Institute of Technology,2017-18,27.44630071599045
Vellore Institute of Technology,2018-19,38.25757575757576
Vellore Institute of Technology,2019-20,10.661764705882353
Visva Bharati,2015-16,1.3561741613133478
Visva Bharati,2016-17,0.4291845493562232
Visva Bharati,2017-18,4.044409199048374
Visva Bharati,2018-19,4.044409199048374
Visva Bharati,2019-20,2.3622047244094486
Visvesvaraya National Institute of Technology,2017-18,20.060331825037707
Visvesvaraya National Institute of Technology,2018-19,9.29203539823009
Visvesvaraya National Institute of Technology,2019-20,1.2121212121212122
