Institute,Programs,Overfill-percent
Savitribai Phule Pune University ,PG [2 Years Program(s)],53.708231458842704
University of Delhi ,PG [2 Years Program(s)],53.55550340295705
Manipal Academy of Higher Education ,PG [2 Years Program(s)],50.76586433260394
Shiv Nadar University ,PG [2 Years Program(s)],50.0
Indian Institute of Technology (Banaras Hindu University) Varanasi ,PG [2 Years Program(s)],49.825783972125436
University of Hyderabad ,PG [2 Years Program(s)],49.75878704341833
Datta Meghe Institute of Medical Sciences ,PG [2 Years Program(s)],46.808510638297875
Bharathidasan University ,PG [2 Years Program(s)],45.67741935483871
Calcutta University ,PG [3 Years Program(s)],45.535714285714285
National Institute of Technology Durgapur ,PG [2 Years Program(s)],44.95614035087719
Datta Meghe Institute of Medical Sciences ,UG [3 Years Program(s)],44.48275862068966
Pondicherry University ,PG [2 Years Program(s)],43.728813559322035
Jamia Hamdard ,PG [2 Years Program(s)],43.30518697225573
Delhi Technological University ,PG [2 Years Program(s)],43.161094224924014
Visva Bharati ,PG [2 Years Program(s)],42.45014245014245
Indian Institute of Technology Bhubaneswar ,PG [2 Years Program(s)],41.32947976878613
Bharath Institute of Higher Education & Research ,PG [2 Years Program(s)],41.00327153762268
Visvesvaraya National Institute of Technology ,PG [2 Years Program(s)],40.18181818181818
Indian Institute of Technology Mandi ,PG-Integrated,40.0
Lovely Professional University ,PG [3 Years Program(s)],40.0
Motilal Nehru National Institute of Technology ,PG [2 Years Program(s)],37.459807073954984
National Institute of Technology Rourkela ,PG [2 Years Program(s)],35.75471698113208
Amrita Vishwa Vidyapeetham ,PG [2 Years Program(s)],34.17040358744394
Indian Institute of Technology (Indian School of Mines) ,PG [2 Years Program(s)],33.812154696132595
Kalasalingam Academy of Research and Higher Education ,PG [2 Years Program(s)],32.45614035087719
Indian Institute of Technology Mandi ,PG [2 Years Program(s)],31.043956043956044
Jamia Hamdard ,PG [3 Years Program(s)],30.508474576271187
Dr. B. R. Ambedkar National Institute of Technology ,PG [2 Years Program(s)],28.94736842105263
Indian Institute of Technology Patna ,PG [2 Years Program(s)],22.413793103448278
Indian Institute of Engineering Science and Technology ,PG [2 Years Program(s)],21.09375
Panjab University ,PG [2 Years Program(s)],20.90710647586709
S.R.M. Institute of Science and Technology ,PG [2 Years Program(s)],19.051204819277107
National Institute of Technology Silchar ,PG [2 Years Program(s)],17.008196721311474
Thapar Institute of Engineering and Technology ,PG [2 Years Program(s)],14.40677966101695
Malaviya National Institute of Technology ,PG [2 Years Program(s)],8.975609756097562
Savitribai Phule Pune University ,UG [3 Years Program(s)],5.670103092783505
Savitribai Phule Pune University ,PG [1 Years Program(s)],5.0
Calcutta University ,PG [1 Years Program(s)],3.240740740740741
Indian Institute of Technology Kharagpur ,PG [2 Years Program(s)],0.0
Chandigarh University ,PG [1 Years Program(s)],0.0
Manipal Academy of Higher Education ,PG [1 Years Program(s)],0.0
Saveetha Institute of Medical and Technical Sciences ,PG [1 Years Program(s)],0.0
Indian Institute of Science Education & Research Kolkata ,PG [2 Years Program(s)],0.0
Indian Institute of Technology Kharagpur ,PG [3 Years Program(s)],0.0
Kerala University ,PG [1 Years Program(s)],0.0
Gauhati University ,PG [1 Years Program(s)],0.0
Siksha `O` Anusandhan ,PG [1 Years Program(s)],0.0
Kalinga Institute of Industrial Technology ,PG [1 Years Program(s)],0.0
Guru Gobind Singh Indraprastha University ,PG [1 Years Program(s)],0.0
