Academic Year,"No. of first year
students intake in the
year","No. of first year
students admitted in
the year",Academic Year,"No. of students
admitted through
Lateral entry",Academic Year,"No. of students
graduating in
minimum stipulated
time","No. of students
placed","Median salary of
placed
graduates(Amount in
Rs.)","No. of students
selected for Higher
Studies",Program_name,Institute
2015-16,1270,1274,2016-17,120,2018-19,1270,1088,"630000(Six Lakh Thirty
Thousand)",180,"PG [3 Year
Program(s)]",Thapar Institute of Engineering and Technology 
2016-17,1480,1438,2017-18,111,2019-20,1549,1053,"810000(Eight Lakh
Ten Thousand)",182,"PG [3 Year
Program(s)]",Thapar Institute of Engineering and Technology 
2014-15,1230,1206,2015-16,103,2017-18,1234,958,"620000(Six Lakh
Twenty Thousand)",55,PG-Integrated,Thapar Institute of Engineering and Technology 
2015-16,1270,1274,2016-17,120,2018-19,1270,1088,"630000(Six Lakh Thirty
Thousand)",180,PG-Integrated,Thapar Institute of Engineering and Technology 
2016-17,1480,1438,2017-18,111,2019-20,1549,1053,"810000(Eight Lakh
Ten Thousand)",182,PG-Integrated,Thapar Institute of Engineering and Technology 
2015-16,60,33,2016-17,0,2017-18,29,7,"240000(Two Lakhs
Forty Thousand only)",18,"UG [3 Years
Program(s)]",Sri Ramachandra Institute of Higher Education and Research 
2016-17,80,75,2017-18,0,2018-19,68,28,"250000(Two lakhs Fifty
Thousand only)",40,"UG [3 Years
Program(s)]",Sri Ramachandra Institute of Higher Education and Research 
2017-18,90,88,2018-19,0,2019-20,85,30,"270000(Two Lakhs
Seventy Thousand
only)",50,"UG [3 Years
Program(s)]",Sri Ramachandra Institute of Higher Education and Research 
2015-16,60,33,2016-17,0,2017-18,29,7,"240000(Two Lakhs
Forty Thousand only)",18,"UG [4 Years
Program(s)]",Sri Ramachandra Institute of Higher Education and Research 
2016-17,80,75,2017-18,0,2018-19,68,28,"250000(Two lakhs Fifty
Thousand only)",40,"UG [4 Years
Program(s)]",Sri Ramachandra Institute of Higher Education and Research 
2017-18,90,88,2018-19,0,2019-20,85,30,"270000(Two Lakhs
Seventy Thousand
only)",50,"UG [4 Years
Program(s)]",Sri Ramachandra Institute of Higher Education and Research 
2015-16,60,33,2016-17,0,2017-18,29,7,"240000(Two Lakhs
Forty Thousand only)",18,"UG [5 Years
Program(s)]",Sri Ramachandra Institute of Higher Education and Research 
2016-17,80,75,2017-18,0,2018-19,68,28,"250000(Two lakhs Fifty
Thousand only)",40,"UG [5 Years
Program(s)]",Sri Ramachandra Institute of Higher Education and Research 
2017-18,90,88,2018-19,0,2019-20,85,30,"270000(Two Lakhs
Seventy Thousand
only)",50,"UG [5 Years
Program(s)]",Sri Ramachandra Institute of Higher Education and Research 
2015-16,60,33,2016-17,0,2017-18,29,7,"240000(Two Lakhs
Forty Thousand only)",18,"UG [6 Year
Program(s)]",Sri Ramachandra Institute of Higher Education and Research 
2016-17,80,75,2017-18,0,2018-19,68,28,"250000(Two lakhs Fifty
Thousand only)",40,"UG [6 Year
Program(s)]",Sri Ramachandra Institute of Higher Education and Research 
2017-18,90,88,2018-19,0,2019-20,85,30,"270000(Two Lakhs
Seventy Thousand
only)",50,"UG [6 Year
Program(s)]",Sri Ramachandra Institute of Higher Education and Research 
2015-16,60,33,2016-17,0,2017-18,29,7,"240000(Two Lakhs
Forty Thousand only)",18,"PG [2 Year
Program(s)]",Sri Ramachandra Institute of Higher Education and Research 
2016-17,80,75,2017-18,0,2018-19,68,28,"250000(Two lakhs Fifty
Thousand only)",40,"PG [2 Year
Program(s)]",Sri Ramachandra Institute of Higher Education and Research 
2017-18,90,88,2018-19,0,2019-20,85,30,"270000(Two Lakhs
Seventy Thousand
only)",50,"PG [2 Year
Program(s)]",Sri Ramachandra Institute of Higher Education and Research 
2015-16,60,33,2016-17,0,2017-18,29,7,"240000(Two Lakhs
Forty Thousand only)",18,"PG [3 Year
Program(s)]",Sri Ramachandra Institute of Higher Education and Research 
2016-17,80,75,2017-18,0,2018-19,68,28,"250000(Two lakhs Fifty
Thousand only)",40,"PG [3 Year
Program(s)]",Sri Ramachandra Institute of Higher Education and Research 
2017-18,90,88,2018-19,0,2019-20,85,30,"270000(Two Lakhs
Seventy Thousand
only)",50,"PG [3 Year
Program(s)]",Sri Ramachandra Institute of Higher Education and Research 
2015-16,60,33,2016-17,0,2017-18,29,7,"240000(Two Lakhs
Forty Thousand only)",18,PG-Integrated,Sri Ramachandra Institute of Higher Education and Research 
2016-17,80,75,2017-18,0,2018-19,68,28,"250000(Two lakhs Fifty
Thousand only)",40,PG-Integrated,Sri Ramachandra Institute of Higher Education and Research 
2017-18,90,88,2018-19,0,2019-20,85,30,"270000(Two Lakhs
Seventy Thousand
only)",50,PG-Integrated,Sri Ramachandra Institute of Higher Education and Research 
2015-16,60,33,2016-17,0,2017-18,29,7,"240000(Two Lakhs
Forty Thousand only)",18,"PG [6 Year
Program(s)]",Sri Ramachandra Institute of Higher Education and Research 
2016-17,80,75,2017-18,0,2018-19,68,28,"250000(Two lakhs Fifty
Thousand only)",40,"PG [6 Year
Program(s)]",Sri Ramachandra Institute of Higher Education and Research 
2017-18,90,88,2018-19,0,2019-20,85,30,"270000(Two Lakhs
Seventy Thousand
only)",50,"PG [6 Year
Program(s)]",Sri Ramachandra Institute of Higher Education and Research 
2015-16,580,580,2016-17,0,2017-18,522,53,"392000(Three Lakh
Ninety Two Thousand)",104,"UG [3 Years
Program(s)]",SVKM`s Narsee Monjee Institute of Management Studies 
2016-17,580,580,2017-18,0,2018-19,580,182,"480000(Four Lakh
Eighty Thousand)",198,"UG [3 Years
Program(s)]",SVKM`s Narsee Monjee Institute of Management Studies 
2017-18,580,580,2018-19,0,2019-20,539,97,"410000(Four Lakh Ten
Thousand)",37,"UG [3 Years
Program(s)]",SVKM`s Narsee Monjee Institute of Management Studies 
2015-16,580,580,2016-17,0,2017-18,522,53,"392000(Three Lakh
Ninety Two Thousand)",104,"UG [4 Years
Program(s)]",SVKM`s Narsee Monjee Institute of Management Studies 
2016-17,580,580,2017-18,0,2018-19,580,182,"480000(Four Lakh
Eighty Thousand)",198,"UG [4 Years
Program(s)]",SVKM`s Narsee Monjee Institute of Management Studies 
2017-18,580,580,2018-19,0,2019-20,539,97,"410000(Four Lakh Ten
Thousand)",37,"UG [4 Years
Program(s)]",SVKM`s Narsee Monjee Institute of Management Studies 
2015-16,580,580,2016-17,0,2017-18,522,53,"392000(Three Lakh
Ninety Two Thousand)",104,"PG [2 Year
Program(s)]",SVKM`s Narsee Monjee Institute of Management Studies 
2016-17,580,580,2017-18,0,2018-19,580,182,"480000(Four Lakh
Eighty Thousand)",198,"PG [2 Year
Program(s)]",SVKM`s Narsee Monjee Institute of Management Studies 
2017-18,580,580,2018-19,0,2019-20,539,97,"410000(Four Lakh Ten
Thousand)",37,"PG [2 Year
Program(s)]",SVKM`s Narsee Monjee Institute of Management Studies 
2015-16,580,580,2016-17,0,2017-18,522,53,"392000(Three Lakh
Ninety Two Thousand)",104,"PG [3 Year
Program(s)]",SVKM`s Narsee Monjee Institute of Management Studies 
2016-17,580,580,2017-18,0,2018-19,580,182,"480000(Four Lakh
Eighty Thousand)",198,"PG [3 Year
Program(s)]",SVKM`s Narsee Monjee Institute of Management Studies 
2017-18,580,580,2018-19,0,2019-20,539,97,"410000(Four Lakh Ten
Thousand)",37,"PG [3 Year
Program(s)]",SVKM`s Narsee Monjee Institute of Management Studies 
2015-16,580,580,2016-17,0,2017-18,522,53,"392000(Three Lakh
Ninety Two Thousand)",104,PG-Integrated,SVKM`s Narsee Monjee Institute of Management Studies 
2016-17,580,580,2017-18,0,2018-19,580,182,"480000(Four Lakh
Eighty Thousand)",198,PG-Integrated,SVKM`s Narsee Monjee Institute of Management Studies 
2017-18,580,580,2018-19,0,2019-20,539,97,"410000(Four Lakh Ten
Thousand)",37,PG-Integrated,SVKM`s Narsee Monjee Institute of Management Studies 
