Academic Year,"No. of first year
students intake in the
year","No. of first year
students admitted in
the year",Academic Year,"No. of students
admitted through
Lateral entry",Academic Year,"No. of students
graduating in
minimum stipulated
time","No. of students
placed","Median salary of
placed
graduates(Amount in
Rs.)","No. of students
selected for Higher
Studies",Program_name,Institute
2014-15,70,70,2015-16,7,2016-17,55,28,"196000(One  lakh
Ninety  six thousand
only)",21,"UG [5 Years
Program(s)]", Andhra University 
2015-16,66,66,2016-17,7,2017-18,59,32,"228000(Two  lakh
twenty eight  thousand
only)",20,"UG [5 Years
Program(s)]", Andhra University 
2013-14,70,59,2014-15,0,2015-16,45,4,"84000(Eight lakh forty
thousand only)",18,"PG [2 Year
Program(s)]", Andhra University 
2014-15,70,70,2015-16,7,2016-17,55,28,"196000(One  lakh
Ninety  six thousand
only)",21,"PG [2 Year
Program(s)]", Andhra University 
2015-16,66,66,2016-17,7,2017-18,59,32,"228000(Two  lakh
twenty eight  thousand
only)",20,"PG [2 Year
Program(s)]", Andhra University 
2013-14,70,59,2014-15,0,2015-16,45,4,"84000(Eight lakh forty
thousand only)",18,"PG [3 Year
Program(s)]", Andhra University 
2014-15,70,70,2015-16,7,2016-17,55,28,"196000(One  lakh
Ninety  six thousand
only)",21,"PG [3 Year
Program(s)]", Andhra University 
2015-16,66,66,2016-17,7,2017-18,59,32,"228000(Two  lakh
twenty eight  thousand
only)",20,"PG [3 Year
Program(s)]", Andhra University 
2013-14,70,59,2014-15,0,2015-16,45,4,"84000(Eight lakh forty
thousand only)",18,"PG [6 Year
Program(s)]", Andhra University 
2014-15,70,70,2015-16,7,2016-17,55,28,"196000(One  lakh
Ninety  six thousand
only)",21,"PG [6 Year
Program(s)]", Andhra University 
2015-16,66,66,2016-17,7,2017-18,59,32,"228000(Two  lakh
twenty eight  thousand
only)",20,"PG [6 Year
Program(s)]", Andhra University 
2012-13,200,196,2013-14,0,2015-16,185,155,"720000(Seven lakh
twenty thousand)",21,"UG [4 Years
Program(s)]", Indian Institute of Technology Hyderabad 
2013-14,210,200,2014-15,0,2016-17,192,135,"910000(Nine lakh ten
thousand)",38,"UG [4 Years
Program(s)]", Indian Institute of Technology Hyderabad 
2014-15,220,208,2015-16,0,2017-18,196,115,"1030000(Ten lakh
thirty thousand)",59,"UG [4 Years
Program(s)]", Indian Institute of Technology Hyderabad 
2012-13,200,196,2013-14,0,2015-16,185,155,"720000(Seven lakh
twenty thousand)",21,"PG [2 Year
Program(s)]", Indian Institute of Technology Hyderabad 
2013-14,210,200,2014-15,0,2016-17,192,135,"910000(Nine lakh ten
thousand)",38,"PG [2 Year
Program(s)]", Indian Institute of Technology Hyderabad 
2014-15,220,208,2015-16,0,2017-18,196,115,"1030000(Ten lakh
thirty thousand)",59,"PG [2 Year
Program(s)]", Indian Institute of Technology Hyderabad 
2012-13,200,196,2013-14,0,2015-16,185,155,"720000(Seven lakh
twenty thousand)",21,"PG [3 Year
Program(s)]", Indian Institute of Technology Hyderabad 
2013-14,210,200,2014-15,0,2016-17,192,135,"910000(Nine lakh ten
thousand)",38,"PG [3 Year
Program(s)]", Indian Institute of Technology Hyderabad 
2014-15,220,208,2015-16,0,2017-18,196,115,"1030000(Ten lakh
thirty thousand)",59,"PG [3 Year
Program(s)]", Indian Institute of Technology Hyderabad 
2012-13,2460,2444,2013-14,0,2015-16,2099,1623,"325000(THREE
LAKHS TWENTY FIVE
THOUSAND )",94,"UG [4 Years
Program(s)]", Koneru Lakshmaiah Education Foundation University (K L College of Engineering) 
